section,segment,rows,duration_s,distance_m,real_energy_wh,fusion_energy_wh,run_class,quality_label,service_no,date_service,figure
石碶-雅渡,9,1637,81.8,839.723,11694.666,11793.811,3,0,70909,07/0970909,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_009_07_0970909.jpg
石碶-雅渡,10,1580,78.95,839.427,12323.955,12313.473,2,0,70910,07/0970910,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_010_07_0970910.jpg
石碶-雅渡,11,1564,78.15,840.2,13237.572,13288.708,2,0,70911,07/0970911,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_011_07_0970911.jpg
石碶-雅渡,12,1572,78.55,840.557,13219.869,13418.947,2,0,70912,07/0970912,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_012_07_0970912.jpg
石碶-雅渡,13,1676,83.75,840.993,13170.022,13272.723,3,0,70913,07/0970913,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_013_07_0970913.jpg
石碶-雅渡,14,1577,78.8,839.984,12614.319,12592.952,2,1,70914,07/0970914,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_014_07_0970914.jpg
石碶-雅渡,15,1570,78.45,840.241,12328.163,12303.791,2,0,71015,07/1071015,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_015_07_1071015.jpg
石碶-雅渡,16,1654,82.65,840.468,12814.985,12916.65,3,0,71016,07/1071016,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_016_07_1071016.jpg
石碶-雅渡,17,1702,85.05,840.204,12985.256,13182.888,4,0,71017,07/1071017,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_017_07_1071017.jpg
石碶-雅渡,18,1752,87.55,839.852,10784.317,10997.064,4,1,71018,07/1071018,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_018_07_1071018.jpg
石碶-雅渡,19,1620,80.95,839.372,12917.901,12988.884,2,0,71219,07/1271219,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_019_07_1271219.jpg
石碶-雅渡,20,1627,81.3,840.398,13459.656,13681.321,3,0,71220,07/1271220,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_020_07_1271220.jpg
石碶-雅渡,21,1677,83.8,840.524,13079.029,13245.983,3,0,71221,07/1271221,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_021_07_1271221.jpg
石碶-雅渡,22,1674,83.65,839.751,13059.378,13211.495,3,0,71222,07/1271222,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_022_07_1271222.jpg
石碶-雅渡,23,1681,84.0,840.066,13139.2,13337.366,3,0,71223,07/1271223,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_023_07_1271223.jpg
石碶-雅渡,24,1681,84.0,840.431,13214.28,13354.874,3,0,71224,07/1271224,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_024_07_1271224.jpg
石碶-雅渡,25,1684,84.15,840.098,13015.22,13178.303,4,0,71225,07/1271225,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_025_07_1271225.jpg
石碶-雅渡,26,1517,75.8,839.845,12622.309,12564.67,1,1,71226,07/1271226,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_026_07_1271226.jpg
石碶-雅渡,27,1673,83.6,839.518,13030.92,13164.181,3,0,71327,07/1371327,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_027_07_1371327.jpg
石碶-雅渡,28,1645,82.2,839.147,11563.49,11646.715,3,0,71328,07/1371328,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_028_07_1371328.jpg
石碶-雅渡,29,1645,82.2,839.281,12746.521,12809.081,3,0,71329,07/1371329,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_029_07_1371329.jpg
石碶-雅渡,30,1642,82.05,838.929,11663.145,11814.145,3,0,71330,07/1371330,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_030_07_1371330.jpg
石碶-雅渡,31,1585,79.2,838.944,12099.715,12118.592,2,0,71331,07/1371331,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_031_07_1371331.jpg
石碶-雅渡,32,1629,81.4,839.276,12476.88,12644.156,3,0,71332,07/1371332,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_032_07_1371332.jpg
石碶-雅渡,33,1534,76.65,839.66,11833.301,11970.746,1,1,71333,07/1371333,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\石碶-雅渡\seg_033_07_1371333.jpg
雅渡-庙堰,0,2675,133.7,1889.598,20805.038,20986.506,3,0,70800,07/0870800,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_000_07_0870800.jpg
雅渡-庙堰,1,2729,136.4,1889.168,19589.375,19894.476,4,0,70801,07/0870801,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_001_07_0870801.jpg
