trip_no,comparison,primary,reference,primary_duration_s,reference_duration_s,duration_difference_s,primary_distance_km,reference_distance_km,primary_energy_kwh,reference_energy_kwh,energy_difference_kwh,energy_error_pct,error_formula,energy_profile_note,plot,max_mass_t,target_time_s,target_run_time_s,target_dwell_time_s
8,07_energy_first_vs_standard_dp,OT Energy-first DP,OT Standard DP,3804.0,3804.0,0.0,36.5038,36.5038,377.70605555555557,385.2788333333333,-7.5727777777777305,-1.9655317454789836,(OT Energy-first DP - OT Standard DP) / OT Standard DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip008\trip008_07_energy_first_vs_standard_dp.png,216.44,3804.2,3024.2,780.0
8,08_energy_first_vs_dwell5_dp,OT Energy-first DP,OT Dwell 5% DP,3804.0,3804.0,0.0,36.5038,36.504,377.70605555555557,374.76519444444443,2.9408611111111327,0.7847209812188385,(OT Energy-first DP - OT Dwell 5% DP) / OT Dwell 5% DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip008\trip008_08_energy_first_vs_dwell5_dp.png,216.44,3804.2,3024.2,780.0
8,09_energy_first_vs_ot_history,OT Energy-first DP,OT History,3804.0,3804.0,0.0,36.5038,36.5041,377.70605555555557,390.05022222222226,-12.344166666666695,-3.164763397989782,(OT Energy-first DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip008\trip008_09_energy_first_vs_ot_history.png,216.44,3804.2,3024.2,780.0
10,01_standard_dp_vs_ot_history,OT Standard DP,OT History,3813.0,3813.0,0.0,36.504,36.5041,384.91577777777775,389.9695277777778,-5.053750000000036,-1.295934589761047,(OT Standard DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\trip010_01_standard_dp_vs_ot_history.png,216.94,3813.1,3021.1,792.0
10,02_dwell5_dp_vs_ot_history,OT Dwell 5% DP,OT History,3813.0,3813.0,0.0,36.504,36.5041,375.7199444444444,389.9695277777778,-14.249583333333362,-3.6540248194606164,(OT Dwell 5% DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\trip010_02_dwell5_dp_vs_ot_history.png,216.94,3813.1,3021.1,792.0
10,03_standard_dp_vs_dwell5_dp,OT Standard DP,OT Dwell 5% DP,3813.0,3813.0,0.0,36.504,36.504,384.91577777777775,375.7199444444444,9.195833333333326,2.44752334000546,(OT Standard DP - OT Dwell 5% DP) / OT Dwell 5% DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\trip010_03_standard_dp_vs_dwell5_dp.png,216.94,3813.1,3021.1,792.0
10,04_standard_dp_vs_real_history,OT Standard DP,Real History,3813.0,3813.0999999999995,-0.0999999999994543,36.504,36.53210624999998,384.91577777777775,410.21275078725677,-25.296973009479018,-6.166793440947537,(OT Standard DP - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\trip010_04_standard_dp_vs_real_history.png,216.94,3813.1,3021.1,792.0
10,05_dwell5_dp_vs_real_history,OT Dwell 5% DP,Real History,3813.0,3813.0999999999995,-0.0999999999994543,36.504,36.53210624999998,375.7199444444444,410.21275078725677,-34.492806342812344,-8.408516380004212,(OT Dwell 5% DP - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\trip010_05_dwell5_dp_vs_real_history.png,216.94,3813.1,3021.1,792.0
10,06_ot_history_vs_real_history,OT History,Real History,3813.0,3813.0999999999995,-0.0999999999994543,36.5041,36.53210624999998,389.9695277777778,410.21275078725677,-20.24322300947898,-4.934810770905914,(OT History - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\trip010_06_ot_history_vs_real_history.png,216.94,3813.1,3021.1,792.0
10,07_energy_first_vs_standard_dp,OT Energy-first DP,OT Standard DP,3813.0,3813.0,0.0,36.504,36.504,372.59591666666665,384.91577777777775,-12.319861111111095,-3.2006640991016173,(OT Energy-first DP - OT Standard DP) / OT Standard DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\trip010_07_energy_first_vs_standard_dp.png,216.94,3813.1,3021.1,792.0
10,08_energy_first_vs_dwell5_dp,OT Energy-first DP,OT Dwell 5% DP,3813.0,3813.0,0.0,36.504,36.504,372.59591666666665,375.7199444444444,-3.124027777777769,-0.8314777599568451,(OT Energy-first DP - OT Dwell 5% DP) / OT Dwell 5% DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\trip010_08_energy_first_vs_dwell5_dp.png,216.94,3813.1,3021.1,792.0
10,09_energy_first_vs_ot_history,OT Energy-first DP,OT History,3813.0,3813.0,0.0,36.504,36.5041,372.59591666666665,389.9695277777778,-17.37361111111113,-4.455120175700343,(OT Energy-first DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\trip010_09_energy_first_vs_ot_history.png,216.94,3813.1,3021.1,792.0
12,01_standard_dp_vs_ot_history,OT Standard DP,OT History,3807.0,3807.0,0.0,36.5039,36.5039,382.0965555555556,391.54016666666666,-9.443611111111068,-2.4119137485965214,(OT Standard DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip012\trip012_01_standard_dp_vs_ot_history.png,216.72,3807.15,3023.15,784.0
12,02_dwell5_dp_vs_ot_history,OT Dwell 5% DP,OT History,3807.0,3807.0,0.0,36.5041,36.5039,377.4623611111111,391.54016666666666,-14.077805555555585,-3.5954946015897695,(OT Dwell 5% DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip012\trip012_02_dwell5_dp_vs_ot_history.png,216.72,3807.15,3023.15,784.0
12,03_standard_dp_vs_dwell5_dp,OT Standard DP,OT Dwell 5% DP,3807.0,3807.0,0.0,36.5039,36.5041,382.0965555555556,377.4623611111111,4.634194444444518,1.22772358833425,(OT Standard DP - OT Dwell 5% DP) / OT Dwell 5% DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip012\trip012_03_standard_dp_vs_dwell5_dp.png,216.72,3807.15,3023.15,784.0
