趟次,场景,场景名称,区间序号,区间,选定等级,规划用时(s),生成曲线用时(s),曲线与规划时间差(s),重量(t),代码规划能耗(kWh),Simu物理机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%)
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,16,海晏北路-民安东路,class3,85.0,85.0,0.0,216.72,14.760309999999999,14.607265768884378,-0.15304423111562038,-1.036863257720335
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,17,民安东路-会展中心,class3,79.0,78.95,-0.04999999999999716,216.52,11.61234,11.67089422054389,0.05855422054388981,0.5042413548336495
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,18,会展中心-院士路,class3,115.0,115.0,0.0,216.32,14.93033,15.364547418726342,0.4342174187263428,2.9082908329979498
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,19,院士路-盎孟港,class3,91.0,90.95,-0.04999999999999716,216.44,17.87278,17.21354098046991,-0.6592390195300872,-3.688508556195999
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,20,盎孟港-三官堂,class2,132.0,132.0,0.0,216.44,17.64881,17.25103908064434,-0.39777091935566133,-2.253811556448629
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,21,三官堂-兴庄路,class3,104.0,104.05,0.04999999999999716,216.14,10.525360000000001,10.888342772711056,0.36298277271105484,3.448649478127635
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,22,兴庄路-兴海南路,class2,87.0,86.95,-0.04999999999999716,215.54,15.84608,17.712479823604138,1.8663998236041373,11.778306203200648
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,23,兴海南路-梅堰,class3,82.0,81.95,-0.04999999999999716,215.54,11.320350000000001,11.729860602309312,0.4095106023093109,3.617472978391224
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,24,梅堰-永茂路,class4,329.0,329.0,0.0,215.54,26.433130000000002,25.694708484822094,-0.7384215151779081,-2.793545505878071
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,25,永茂路-镇海大道,class4,156.0,156.0,0.0,215.44,15.61383,14.496505305977802,-1.117324694022198,-7.155993718531571
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,26,镇海大道-骆驼桥,class4,128.0,128.0,0.0,215.34,17.274169999999998,16.418124325351762,-0.8560456746482359,-4.955639979508341
14,standard_dp,规划后：标准 DP,1,布政-张家潭,class3,115.0,115.0,0.0,215.24,12.94801,12.909928848727692,-0.03808115127230849,-0.2941081391836158
14,standard_dp,规划后：标准 DP,2,张家潭-同德路,class1,141.0,141.0,0.0,215.24,17.87687,16.54448961359441,-1.332380386405589,-7.453096579018526
14,standard_dp,规划后：标准 DP,3,同德路-石碶,class3,109.0,108.95,-0.04999999999999716,215.24,13.10016,13.023890911529268,-0.07626908847073288,-0.5821996713836539
14,standard_dp,规划后：标准 DP,4,石碶-雅渡,class2,80.0,80.0,0.0,215.54,11.09226,10.763814842987147,-0.3284451570128528,-2.961030096777869
14,standard_dp,规划后：标准 DP,5,雅渡-庙堰,class2,129.0,129.0,0.0,215.54,20.51991,20.781455671879897,0.2615456718798974,1.2745946345763572
14,standard_dp,规划后：标准 DP,6,庙堰-钟公庙,class3,96.0,95.95,-0.04999999999999716,215.74,12.519129999999999,12.74863516655879,0.22950516655879127,1.8332357484808552
14,standard_dp,规划后：标准 DP,7,钟公庙-鄞州区政府,class3,90.0,90.0,0.0,215.54,10.33192,11.148000931854877,0.8160809318548772,7.898637734853514
14,standard_dp,规划后：标准 DP,8,鄞州区政府-钱湖南路,class2,128.0,127.95,-0.04999999999999716,216.62,18.6425,17.707008471406166,-0.9354915285938326,-5.018058353728485
14,standard_dp,规划后：标准 DP,9,钱湖南路-南高教园区,class3,100.0,100.05,0.04999999999999716,216.82,13.71493,14.031351085607819,0.3164210856078178,2.307128695573494
14,standard_dp,规划后：标准 DP,10,南高教园区-下应路,class2,110.0,110.0,0.0,217.02,21.00755,19.98991128629789,-1.0176387137021088,-4.844157046881283
14,standard_dp,规划后：标准 DP,11,下应路-大洋江,class2,101.0,101.0,0.0,216.74,13.4118,13.583186917721429,0.17138691772142955,1.2778815499890361
