trip_no,tsvp_file,sections,history_dwell_s,status,valid_for_stats,flag,opentrack_points,history_points,opentrack_duration_s,history_duration_s,duration_error_s,duration_error_pct,opentrack_distance_km,history_distance_km,distance_ratio,distance_error_km,distance_error_pct,opentrack_energy_kwh,history_energy_kwh,energy_error_kwh,energy_error_pct,plot,error
41,D:\OutPut\OT_priority_history_trip041.tsvP,5,30.0,ok,True,ok,560,11456,723.0,692.55,30.450000000000045,4.396794455273994,7.463,7.4668818055555475,0.9994801303065144,-0.003881805555547402,-0.05198696934856048,74.76583333333333,72.24500452815965,2.5208288051736787,3.4892776623622606,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip041_vs_history_trip041_vt_vs_et_es.jpg,
42,D:\OutPut\OT_priority_history_trip042.tsvP,5,30.0,ok,True,ok,552,11739,737.0,706.7,30.299999999999955,4.287533606905328,7.463,7.5866401388888995,0.9837029124058325,-0.12364013888889946,-1.6297087594167499,76.03391666666667,80.5084160920972,-4.474499425430537,-5.5578033237071205,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip042_vs_history_trip042_vt_vs_et_es.jpg,
43,D:\OutPut\OT_priority_history_trip043.tsvP,5,30.0,ok,True,ok,560,11904,745.0,714.9499999999999,30.050000000000068,4.203091125253524,7.463,7.586277499999998,0.9837499353273067,-0.12327749999999771,-1.625006467269326,73.77197222222222,77.1512389108056,-3.3792666885833853,-4.380054988475492,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip043_vs_history_trip043_vt_vs_et_es.jpg,
44,D:\OutPut\OT_priority_history_trip044.tsvP,5,30.0,ok,True,ok,555,11892,744.0,714.35,29.649999999999977,4.150626443620071,7.463,7.5870911111110955,0.9836444416847232,-0.12409111111109539,-1.6355558315276748,75.14627777777777,78.12732476469442,-2.9810469869166525,-3.815626601697978,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip044_vs_history_trip044_vt_vs_et_es.jpg,
45,D:\OutPut\OT_priority_history_trip045.tsvP,5,30.0,ok,True,ok,559,11874,743.0,713.45,29.549999999999955,4.141845959772928,7.463,7.586525000000006,0.9837178418314042,-0.1235250000000061,-1.6282158168595768,73.97602777777777,76.97024954113192,-2.9942217633541475,-3.8901027100790078,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip045_vs_history_trip045_vt_vs_et_es.jpg,
46,D:\OutPut\OT_priority_history_trip046.tsvP,5,30.0,ok,True,ok,548,11713,735.0,705.4000000000001,29.59999999999991,4.196200737170386,7.463,7.587770555555555,0.9835563615633842,-0.12477055555555516,-1.6443638436615826,77.24252777777778,78.77508177805552,-1.5325540002777416,-1.9454806846099233,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip046_vs_history_trip046_vt_vs_et_es.jpg,
47,D:\OutPut\OT_priority_history_trip047.tsvP,5,30.0,ok,True,ok,550,11703,735.0,704.9000000000001,30.09999999999991,4.270109235352519,7.463,7.587600416666666,0.9835784161231036,-0.12460041666666566,-1.6421583876896393,75.9185,77.98553969157649,-2.067039691576497,-2.650542266875875,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip047_vs_history_trip047_vt_vs_et_es.jpg,
48,D:\OutPut\OT_priority_history_trip048.tsvP,5,30.0,ok,True,ok,556,11875,744.0,713.5,30.5,4.274702172389628,7.463,7.5875848611111145,0.9835804325893404,-0.12458486111111444,-1.641956741065963,75.52255555555554,77.2381462462222,-1.7155906906666587,-2.221170204160059,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip048_vs_history_trip048_vt_vs_et_es.jpg,
49,D:\OutPut\OT_priority_history_trip049.tsvP,5,30.0,ok,True,ok,551,11711,735.0,705.3000000000001,29.699999999999932,4.210974053594206,7.463,7.586535972222213,0.9837164191042479,-0.12353597222221335,-1.6283580895752052,76.3021111111111,81.47014373743056,-5.168032626319459,-6.343468158072076,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip049_vs_history_trip049_vt_vs_et_es.jpg,
50,D:\OutPut\OT_priority_history_trip050.tsvP,5,30.0,ok,True,ok,552,11690,734.0,704.25,29.75,4.224352147674831,7.463,7.586645833333345,0.9837021740503445,-0.12364583333334522,-1.6297825949655402,77.09961111111112,81.0916917247985,-3.992080613687378,-4.92292185398639,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip050_vs_history_trip050_vt_vs_et_es.jpg,
51,D:\OutPut\OT_priority_history_trip051.tsvP,5,30.0,ok,True,ok,556,11878,744.0,713.6500000000001,30.34999999999991,4.252784978630968,7.463,7.58614319444443,0.9837673516979469,-0.12314319444443012,-1.6232648302053108,74.57358333333333,76.8873021723472,-2.313718839013873,-3.00923400046934,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip051_vs_history_trip051_vt_vs_et_es.jpg,
52,D:\OutPut\OT_priority_history_trip052.tsvP,5,30.0,ok,True,ok,559,11871,743.0,713.3000000000001,29.699999999999932,4.163745969437814,7.463,7.586322916666674,0.9837440459599022,-0.12332291666667405,-1.6255954040097789,73.74594444444445,75.95839936211108,-2.2124549176666335,-2.912719246648885,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip052_vs_history_trip052_vt_vs_et_es.jpg,
53,D:\OutPut\OT_priority_history_trip053.tsvP,5,30.0,ok,True,ok,558,11832,741.0,711.3499999999999,29.65000000000009,4.16813101848599,7.463,7.585561249999998,0.9838428237594156,-0.12256124999999773,-1.615717624058441,74.48927777777779,77.38301599678475,-2.8937382190069627,-3.7395004339546514,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip053_vs_history_trip053_vt_vs_et_es.jpg,
54,D:\OutPut\OT_priority_history_trip054.tsvP,5,30.0,ok,True,ok,551,11694,734.0,704.4499999999999,29.550000000000068,4.194761870963172,7.463,7.587425694444437,0.9836010658350773,-0.12442569444443663,-1.639893416492262,76.26350000000001,81.03810270529863,-4.774602705298619,-5.891799716315958,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip054_vs_history_trip054_vt_vs_et_es.jpg,
55,D:\OutPut\OT_priority_history_trip055.tsvP,5,30.0,ok,True,ok,554,11827,741.0,711.0999999999999,29.90000000000009,4.204753199268752,7.463,7.587613333333337,0.9835767417422426,-0.12461333333333702,-1.6423258257757418,74.92080555555556,77.11564170070825,-2.194836145152692,-2.8461620713356965,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip055_vs_history_trip055_vt_vs_et_es.jpg,
56,D:\OutPut\OT_priority_history_trip056.tsvP,5,30.0,ok,True,ok,542,11384,719.0,688.95,30.049999999999955,4.3617098483199,7.463,7.587471944444444,0.9835950702215667,-0.1244719444444442,-1.6404929778433344,79.03999999999999,82.19660925115286,-3.1566092511528723,-3.840315652812161,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip056_vs_history_trip056_vt_vs_et_es.jpg,
57,D:\OutPut\OT_priority_history_trip057.tsvP,5,30.0,ok,True,ok,549,11691,734.0,704.3000000000001,29.699999999999932,4.216953002981674,7.463,7.586169583333346,0.9837639296115991,-0.12316958333334593,-1.6236070388400872,76.04072222222221,79.99964608006943,-3.9589238578472106,-4.948676715250508,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip057_vs_history_trip057_vt_vs_et_es.jpg,
