section,segment,rows,duration_s,distance_m,real_energy_wh,mlp_energy_wh,mlp_error_pct,run_class,quality_label,service_no,date_service,source_file,figure
布政-张家潭,41,2337,116.8,1450.642,13470.935,13635.641,1.223,3,0,70841,07/0870841,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_41_07_0870841.jpg
布政-张家潭,42,2347,117.3,1451.906,14318.311,14515.024,1.374,3,0,70842,07/0870842,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_42_07_0870842.jpg
布政-张家潭,43,2378,118.85,1450.917,14004.262,14401.201,2.834,4,0,70843,07/0870843,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_43_07_0870843.jpg
布政-张家潭,44,2369,118.4,1451.301,14168.869,14486.659,2.243,4,0,70844,07/0870844,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_44_07_0870844.jpg
布政-张家潭,45,2352,117.55,1451.503,13436.774,13822.838,2.873,3,0,70845,07/0870845,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_45_07_0870845.jpg
布政-张家潭,46,2295,114.7,1450.909,13150.557,13202.31,0.394,3,0,70846,07/0870846,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_46_07_0870846.jpg
布政-张家潭,47,2335,116.7,1450.743,13389.294,13688.686,2.236,3,1,70847,07/0870847,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_47_07_0870847.jpg
布政-张家潭,48,2339,116.9,1451.024,14023.356,13757.172,-1.898,3,0,70948,07/0970948,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_48_07_0970948.jpg
布政-张家潭,49,2317,115.8,1450.938,13178.686,13295.118,0.883,3,0,70949,07/0970949,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_49_07_0970949.jpg
布政-张家潭,50,2327,116.3,1451.293,13988.037,14106.591,0.848,3,0,70950,07/0970950,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_50_07_0970950.jpg
布政-张家潭,51,2289,114.4,1450.715,13851.154,13864.828,0.099,3,0,70951,07/0970951,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_51_07_0970951.jpg
布政-张家潭,52,2347,117.3,1450.385,14192.847,14469.185,1.947,3,0,70952,07/0970952,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_52_07_0970952.jpg
布政-张家潭,53,2320,115.95,1450.764,13880.257,14224.53,2.48,3,0,70953,07/0970953,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_53_07_0970953.jpg
布政-张家潭,54,2325,116.2,1451.493,13295.738,13403.889,0.813,3,0,70954,07/0970954,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_54_07_0970954.jpg
