segment,区段,列车运行方向,运行等级,曲线质量标签,是否是晚上八点以后的趟次,起始时刻s,结束时刻s,来源文件,运行时长s
30,张家潭-同德路,UP,class3,0,0,0.0,152.6,results_张家潭-同德路.xlsx,152.6
31,张家潭-同德路,UP,class3,0,0,0.0,151.85,results_张家潭-同德路.xlsx,151.85
32,张家潭-同德路,UP,class3,0,0,0.0,149.8,results_张家潭-同德路.xlsx,149.8
33,张家潭-同德路,UP,class3,1,1,0.0,152.45,results_张家潭-同德路.xlsx,152.45
0,张家潭-布政,DOWN,class3,0,0,0.0,117.1,results_张家潭-布政.xlsx,117.1
1,张家潭-布政,DOWN,class4,0,0,0.0,118.8,results_张家潭-布政.xlsx,118.8
2,张家潭-布政,DOWN,class4,0,0,0.0,123.9,results_张家潭-布政.xlsx,123.9
3,张家潭-布政,DOWN,class4,0,0,0.0,123.55,results_张家潭-布政.xlsx,123.55
4,张家潭-布政,DOWN,class4,0,0,0.0,123.9,results_张家潭-布政.xlsx,123.9
5,张家潭-布政,DOWN,class4,0,0,0.0,118.5,results_张家潭-布政.xlsx,118.5
6,张家潭-布政,DOWN,class4,1,1,0.0,123.65,results_张家潭-布政.xlsx,123.65
7,张家潭-布政,DOWN,class3,0,0,0.0,116.85,results_张家潭-布政.xlsx,116.85
8,张家潭-布政,DOWN,class4,0,0,0.0,122.95,results_张家潭-布政.xlsx,122.95
9,张家潭-布政,DOWN,class4,0,0,0.0,122.95,results_张家潭-布政.xlsx,122.95
10,张家潭-布政,DOWN,class5,0,0,0.0,124.1,results_张家潭-布政.xlsx,124.1
11,张家潭-布政,DOWN,class4,0,0,0.0,123.45,results_张家潭-布政.xlsx,123.45
12,张家潭-布政,DOWN,class4,0,0,0.0,118.1,results_张家潭-布政.xlsx,118.1
13,张家潭-布政,DOWN,class4,1,1,0.0,123.5,results_张家潭-布政.xlsx,123.5
14,张家潭-布政,DOWN,class3,0,0,0.0,116.75,results_张家潭-布政.xlsx,116.75
15,张家潭-布政,DOWN,class3,0,0,0.0,117.5,results_张家潭-布政.xlsx,117.5
16,张家潭-布政,DOWN,class4,0,0,0.0,118.5,results_张家潭-布政.xlsx,118.5
17,张家潭-布政,DOWN,class5,1,1,0.0,124.35,results_张家潭-布政.xlsx,124.35
18,张家潭-布政,DOWN,class3,0,0,0.0,117.25,results_张家潭-布政.xlsx,117.25
19,张家潭-布政,DOWN,class4,0,0,0.0,118.8,results_张家潭-布政.xlsx,118.8
20,张家潭-布政,DOWN,class3,0,0,0.0,117.6,results_张家潭-布政.xlsx,117.6
21,张家潭-布政,DOWN,class5,0,0,0.0,124.85,results_张家潭-布政.xlsx,124.85
22,张家潭-布政,DOWN,class5,0,0,0.0,124.35,results_张家潭-布政.xlsx,124.35
23,张家潭-布政,DOWN,class4,0,0,0.0,123.9,results_张家潭-布政.xlsx,123.9
24,张家潭-布政,DOWN,class3,0,0,0.0,116.35,results_张家潭-布政.xlsx,116.35
25,张家潭-布政,DOWN,class5,1,1,0.0,141.25,results_张家潭-布政.xlsx,141.25
26,张家潭-布政,DOWN,class5,0,0,0.0,124.8,results_张家潭-布政.xlsx,124.8
27,张家潭-布政,DOWN,class5,0,0,0.0,124.6,results_张家潭-布政.xlsx,124.6
28,张家潭-布政,DOWN,class5,0,0,0.0,124.6,results_张家潭-布政.xlsx,124.6
29,张家潭-布政,DOWN,class5,0,0,0.0,124.45,results_张家潭-布政.xlsx,124.45
30,张家潭-布政,DOWN,class4,0,0,0.0,122.95,results_张家潭-布政.xlsx,122.95
