section,segment,rows,duration_s,distance_m,real_energy_wh,mlp_energy_wh,mlp_error_pct,run_class,quality_label,service_no,date_service,source_file,figure
雅渡-庙堰,74,2625,131.2,1860.109,21462.241,21026.308,-2.031,3,0,71874,07/1871874,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_74_07_1871874.jpg
雅渡-庙堰,75,2579,128.9,1860.801,22881.566,22496.624,-1.682,2,0,71875,07/1871875,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_75_07_1871875.jpg
雅渡-庙堰,76,2692,134.55,1860.953,20199.567,20229.407,0.148,3,0,71876,07/1871876,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_76_07_1871876.jpg
雅渡-庙堰,77,2687,134.3,1860.744,20357.169,20427.798,0.347,3,0,71877,07/1871877,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_77_07_1871877.jpg
雅渡-庙堰,78,2687,134.3,1860.571,20309.558,20240.094,-0.342,3,0,71878,07/1871878,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_78_07_1871878.jpg
雅渡-庙堰,79,2621,131.0,1860.21,21259.139,21174.617,-0.398,3,0,71879,07/1871879,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_79_07_1871879.jpg
雅渡-庙堰,80,2608,130.35,1861.142,21172.544,21096.914,-0.357,2,0,71880,07/1871880,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_80_07_1871880.jpg
雅渡-庙堰,81,2784,139.15,1860.685,17474.26,17975.878,2.871,4,1,71881,07/1871881,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_81_07_1871881.jpg
雅渡-庙堰,82,2639,131.9,1860.523,21788.429,21449.249,-1.557,3,0,71982,07/1971982,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_82_07_1971982.jpg
雅渡-庙堰,83,2663,133.1,1860.987,20730.663,20827.523,0.467,3,0,71983,07/1971983,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_83_07_1971983.jpg
雅渡-庙堰,84,2620,130.95,1860.647,20972.967,20792.906,-0.859,3,0,71984,07/1971984,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_84_07_1971984.jpg
雅渡-庙堰,85,2731,136.5,1860.398,19365.6,19279.786,-0.443,4,0,71985,07/1971985,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_85_07_1971985.jpg
雅渡-庙堰,86,2594,129.65,1861.024,21820.246,21448.106,-1.705,2,0,71986,07/1971986,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_86_07_1971986.jpg
雅渡-庙堰,87,2587,129.3,1861.101,21563.984,21385.995,-0.825,2,0,71987,07/1971987,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_87_07_1971987.jpg
雅渡-庙堰,88,2640,131.95,1861.701,20989.321,20901.349,-0.419,3,1,71988,07/1971988,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_88_07_1971988.jpg
雅渡-庙堰,89,2673,133.6,1890.892,21188.102,21614.859,2.014,3,0,72689,07/2672689,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_89_07_2672689.jpg
雅渡-庙堰,90,2724,136.15,1889.819,19591.006,19839.796,1.27,4,0,72690,07/2672690,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_90_07_2672690.jpg
雅渡-庙堰,91,2744,137.15,1890.191,19424.767,19675.953,1.293,4,0,72691,07/2672691,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_91_07_2672691.jpg
雅渡-庙堰,92,2735,136.7,1889.398,19558.286,19801.458,1.243,4,0,72692,07/2672692,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_92_07_2672692.jpg
雅渡-庙堰,93,2611,130.5,1890.322,21091.621,21372.001,1.329,2,0,72693,07/2672693,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_93_07_2672693.jpg
雅渡-庙堰,94,2582,129.05,1889.987,21550.004,21884.921,1.554,2,0,72694,07/2672694,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_94_07_2672694.jpg
雅渡-庙堰,95,2663,133.1,1889.971,20676.563,21080.084,1.952,3,1,72695,07/2672695,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_95_07_2672695.jpg
雅渡-庙堰,96,2614,130.65,1890.133,21812.081,21890.154,0.358,3,0,72796,07/2772796,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_96_07_2772796.jpg
雅渡-庙堰,97,2635,131.7,1889.541,21104.138,21523.832,1.989,3,0,72797,07/2772797,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_97_07_2772797.jpg
雅渡-庙堰,98,2658,132.85,1889.457,20291.415,20772.942,2.373,3,0,72798,07/2772798,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_98_07_2772798.jpg
雅渡-庙堰,99,2651,132.5,1889.901,21416.244,21805.547,1.818,3,0,72799,07/2772799,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_99_07_2772799.jpg
雅渡-庙堰,100,2656,132.75,1889.534,20377.676,20755.642,1.855,3,0,72800,07/2772800,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_100_07_2772800.jpg
雅渡-庙堰,101,2665,133.2,1889.917,20207.855,20521.732,1.553,3,0,72801,07/2772801,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_101_07_2772801.jpg
