section_index,section,segment,trip_no,run_id,quality_labels,row_count,speed_source,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,xlsx_file,warning
2,张家潭-同德路,10,11,07/0270210,0,3030,auto,64.14,63.8571,63.71,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,11,12,07/0270211,0,3031,auto,64.18,63.92,63.77,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,12,13,07/0270212,0,2949,auto,67.14,66.84,66.71,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,13,14,07/0270213,0,2925,auto,67.25,67.21,67.12,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,14,15,07/0270214,1,3028,auto,64.13,63.8973,63.76,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,15,16,07/0370315,0,3010,auto,65.54,65.28,64.35,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,16,17,07/0370316,0,3029,auto,64.22,63.9,63.72,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,17,18,07/0370317,0,3029,auto,64.09,63.8144,63.69,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,18,19,07/0370318,0,3002,auto,65.31,65.0495,64.33,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,19,20,07/0370319,0,3030,auto,64.08,63.82,63.61,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,20,21,07/0370320,0,3000,auto,65.34,65.08,64.44,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,21,22,07/0370321,0,2998,auto,65.36,65.1209,64.45,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,22,23,07/0370322,1,2998,auto,64.74,63.9712,62.72,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,23,24,07/0470423,0,3020,auto,64.28,63.9781,63.75,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,24,25,07/0470424,0,3018,auto,64.83,64.51,64.05,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,25,26,07/0470425,0,2961,auto,66.83,66.78,66.65,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,26,27,07/0570526,0,3011,auto,65.16,64.98,64.825,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,27,28,07/0570527,0,3003,auto,65.01,64.72,64.13,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,28,29,07/0570528,0,3042,auto,63.43,63.36,63.26,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,29,30,07/0570529,0,3010,auto,64.94,64.6364,64.02,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,30,31,07/0570530,0,3026,auto,63.41,63.38,63.31,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,31,32,07/0570531,0,3035,auto,63.74,63.5,63.43,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,32,33,07/0570532,1,3017,auto,64.84,64.54,64.08,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,33,34,07/0670633,0,3051,auto,63.97,63.675,63.37,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,34,35,07/0670634,0,3020,auto,64.95,64.6362,64.08,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,35,36,07/0670635,0,3037,auto,63.75,63.4928,63.39,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,36,37,07/0670636,0,3020,auto,64.98,64.59,64.08,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
