趟次,场景,场景名称,区间数,最大载重(t),历史运行时间(s),历史停站时间(s),代码或历史能耗(kWh),Simu机械能耗(kWh),OpenTrack机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%),OT-代码(kWh),OT相对代码误差(%),OT-Simu(kWh),OT相对Simu误差(%),代码未逐点复现区间数,图文件
57,energy_first,Energy First,26,225.900000,2967.950000,768.000000,416.723270,417.380354,407.273528,0.657084,0.157679,-9.449742,-2.267630,-10.106826,-2.421491,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip057\02_energy_first.png
57,dwell5_dp,停站放宽 5% DP,26,225.900000,2967.950000,768.000000,403.599000,404.835825,392.192056,1.236825,0.306449,-11.406944,-2.826306,-12.643770,-3.123184,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip057\03_dwell5_dp.png
60,history,历史运行,26,217.750000,3068.350000,747.000000,370.716316,392.569477,389.417000,21.853161,5.894847,18.700684,5.044473,-3.152477,-0.803037,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip060\00_history.png
60,standard_dp,标准 DP,26,217.750000,3068.350000,747.000000,384.724380,393.289447,376.411111,8.565067,2.226287,-8.313269,-2.160838,-16.878336,-4.291581,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip060\01_standard_dp.png
60,energy_first,Energy First,26,217.750000,3068.350000,747.000000,370.230120,377.002431,367.080917,6.772311,1.829217,-3.149203,-0.850607,-9.921514,-2.631684,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip060\02_energy_first.png
60,dwell5_dp,停站放宽 5% DP,26,217.750000,3068.350000,747.000000,383.709320,390.293351,374.241833,6.584031,1.715890,-9.467487,-2.467359,-16.051518,-4.112680,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip060\03_dwell5_dp.png
62,history,历史运行,26,231.700000,2959.700000,781.000000,450.456563,446.997629,425.341056,-3.458933,-0.767873,-25.115507,-5.575567,-21.656574,-4.844897,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip062\00_history.png
62,standard_dp,标准 DP,26,231.700000,2959.700000,781.000000,430.776550,432.844410,418.623250,2.067860,0.480031,-12.153300,-2.821254,-14.221160,-3.285513,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip062\01_standard_dp.png
62,energy_first,Energy First,26,231.700000,2959.700000,781.000000,417.352210,417.400162,407.600361,0.047952,0.011489,-9.751849,-2.336599,-9.799800,-2.347819,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip062\02_energy_first.png
62,dwell5_dp,停站放宽 5% DP,26,231.700000,2959.700000,781.000000,411.790610,410.913584,398.662778,-0.877026,-0.212979,-13.127832,-3.187987,-12.250806,-2.981358,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip062\03_dwell5_dp.png
66,history,历史运行,26,231.200000,2965.900000,773.000000,447.645251,443.161863,417.345111,-4.483388,-1.001549,-30.300140,-6.768784,-25.816752,-5.825581,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip066\00_history.png
66,standard_dp,标准 DP,26,231.200000,2965.900000,773.000000,429.431190,429.871226,417.624083,0.440036,0.102469,-11.807107,-2.749476,-12.247142,-2.849026,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip066\01_standard_dp.png
66,energy_first,Energy First,26,231.200000,2965.900000,773.000000,424.254120,424.063864,412.664833,-0.190256,-0.044845,-11.589287,-2.731685,-11.399031,-2.688046,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip066\02_energy_first.png
66,dwell5_dp,停站放宽 5% DP,26,231.200000,2965.900000,773.000000,408.775370,408.502388,395.499000,-0.272982,-0.066781,-13.276370,-3.247840,-13.003388,-3.183185,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip066\03_dwell5_dp.png
67,history,历史运行,26,249.600000,2968.800000,774.000000,450.944084,446.559131,428.691472,-4.384953,-0.972394,-22.252612,-4.934672,-17.867659,-4.001185,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip067\00_history.png
67,standard_dp,标准 DP,26,249.600000,2968.800000,774.000000,441.609130,445.242554,423.056472,3.633424,0.822769,-18.552658,-4.201149,-22.186082,-4.982920,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip067\01_standard_dp.png
67,energy_first,Energy First,26,249.600000,2968.800000,774.000000,419.861670,421.616071,411.563278,1.754401,0.417852,-8.298392,-1.976459,-10.052794,-2.384348,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip067\02_energy_first.png
67,dwell5_dp,停站放宽 5% DP,26,249.600000,2968.800000,774.000000,419.197240,420.254412,406.164917,1.057172,0.252190,-13.032323,-3.108876,-14.089496,-3.352611,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip067\03_dwell5_dp.png
